OBJECTID_1,OBJECTID,CustomerID,Count_,Country,State,City,Zip_Code,Lat_Long,Lat_Long_X,Lat_Long_Y,Latitude,Longitude,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn_Label,Churn_Value,Churn_Score,CLTV,Churn_Reason,NEAR_FID,NEAR_DIST,BUFF_DIST,No_in_mile,Shape_Length,Shape_Area
11,11,8773-HHUOZ,1,United States,California,Los Angeles,90032,"34.078821, -118.177576",-118.177576000000002,34.078820999999998,34.078820999999998,-118.177576000000002,Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.700000000000003,1093.099999999999909,Yes,1,74,3022,Competitor offered higher download speeds,870,9206.037834956799998,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
12,12,6047-YHPVI,1,United States,California,Los Angeles,90039,"34.110845, -118.259595",-118.259595000000004,34.110844999999998,34.110844999999998,-118.259595000000004,Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.700000000000003,316.899999999999977,Yes,1,66,2454,Competitor offered higher download speeds,873,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
13,13,5380-WJKOV,1,United States,California,Los Angeles,90041,"34.137412, -118.207607",-118.207606999999996,34.137411999999998,34.137411999999998,-118.207606999999996,Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.349999999999994,3549.250000000000000,Yes,1,65,2941,Competitor offered higher download speeds,1311,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
14,14,8168-UQWWF,1,United States,California,Los Angeles,90042,"34.11572, -118.192754",-118.192753999999994,34.115720000000003,34.115720000000003,-118.192753999999994,Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.849999999999994,1105.400000000000091,Yes,1,70,5674,Competitor offered more data,1312,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
15,15,7760-OYPDY,1,United States,California,Los Angeles,90056,"33.987945, -118.370442",-118.370441999999997,33.987945000000003,33.987945000000003,-118.370441999999997,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.650000000000006,144.150000000000006,Yes,1,90,5586,Competitor offered more data,877,0.000000000000000,5280.000000000000000,3,33175.218421908211894,87582576.633837684988976
16,16,9420-LOJKX,1,United States,California,Los Angeles,90061,"33.92128, -118.274186",-118.274186000000000,33.921280000000003,33.921280000000003,-118.274186000000000,Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.099999999999994,1426.400000000000091,Yes,1,82,2966,Competitor offered more data,449,7714.262341881264547,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
17,17,7495-OOKFY,1,United States,California,Los Angeles,90063,"34.044271, -118.185237",-118.185237000000001,34.044271000000002,34.044271000000002,-118.185237000000001,Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.650000000000006,633.299999999999955,Yes,1,69,5302,Competitor made better offer,880,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
18,18,1658-BYGOY,1,United States,California,Los Angeles,90065,"34.108833, -118.229715",-118.229714999999999,34.108832999999997,34.108832999999997,-118.229714999999999,Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.450000000000003,1752.549999999999955,Yes,1,81,3179,Competitor made better offer,12,9115.848140740448798,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
19,19,5698-BQJOH,1,United States,California,Beverly Hills,90211,"34.063947, -118.383001",-118.383000999999993,34.063946999999999,34.063946999999999,-118.383000999999993,Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.400000000000006,857.250000000000000,Yes,1,96,5571,Price too high,875,4487.519919953807403,5280.000000000000000,3,33175.218421908211894,87582576.633837684988976
20,20,5919-TMRGD,1,United States,California,Huntington Park,90255,"33.97803, -118.217141",-118.217140999999998,33.978029999999997,33.978029999999997,-118.217140999999998,Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.349999999999994,79.349999999999994,Yes,1,87,2483,Product dissatisfaction,889,0.000000000000000,5280.000000000000000,3,33175.218421908211894,87582576.633837684988976
21,21,9191-MYQKX,1,United States,California,Lynwood,90262,"33.923573, -118.200669",-118.200669000000005,33.923572999999998,33.923572999999998,-118.200669000000005,Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.150000000000006,496.899999999999977,Yes,1,70,3457,Service dissatisfaction,455,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
22,22,8637-XJIVR,1,United States,California,Marina Del Rey,90292,"33.977468, -118.445475",-118.445475000000002,33.977468000000002,33.977468000000002,-118.445475000000002,Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.950000000000003,927.350000000000023,Yes,1,86,5806,Lack of self-service on Website,459,0.000000000000000,5280.000000000000000,3,33175.218421908211894,87582576.633837684988976
23,23,0278-YXOOG,1,United States,California,Inglewood,90301,"33.956445, -118.358634",-118.358633999999995,33.956445000000002,33.956445000000002,-118.358633999999995,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.050000000000001,113.849999999999994,Yes,1,66,2604,Network reliability,891,6943.163471715303785,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
24,24,4598-XLKNJ,1,United States,California,Inglewood,90303,"33.936291, -118.332639",-118.332639000000000,33.936290999999997,33.936290999999997,-118.332639000000000,Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.500000000000000,2514.500000000000000,Yes,1,88,5337,Limited range of services,460,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
25,25,3192-NQECA,1,United States,California,Santa Monica,90403,"34.031529, -118.491156",-118.491156000000004,34.031528999999999,34.031528999999999,-118.491156000000004,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.000000000000000,7611.850000000000364,Yes,1,86,5034,Lack of affordable download/upload speed,892,0.000000000000000,5280.000000000000000,3,33175.218421908211894,87582576.633837684988976
26,26,0486-HECZI,1,United States,California,Torrance,90504,"33.867257, -118.330794",-118.330793999999997,33.867257000000002,33.867257000000002,-118.330793999999997,Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.750000000000000,5238.899999999999636,Yes,1,75,5154,Long distance charges,1775,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
27,27,4846-WHAFZ,1,United States,California,Whittier,90602,"33.972119, -118.020188",-118.020188000000005,33.972118999999999,33.972118999999999,-118.020188000000005,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.500000000000000,2868.150000000000091,Yes,1,67,2793,Extra data charges,1332,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
28,28,5299-RULOA,1,United States,California,Whittier,90606,"33.976678, -118.065875",-118.065875000000005,33.976678000000000,33.976678000000000,-118.065875000000005,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.250000000000000,1064.650000000000091,Yes,1,87,5998,Price too high,30,8547.627465372601364,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
29,29,0404-SWRVG,1,United States,California,La Habra,90631,"33.940619, -117.9513",-117.951300000000003,33.940618999999998,33.940618999999998,-117.951300000000003,Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.400000000000006,229.550000000000011,Yes,1,76,4415,Product dissatisfaction,898,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
30,30,4412-YLTKF,1,United States,California,Pico Rivera,90660,"33.989524, -118.089299",-118.089298999999997,33.989524000000003,33.989524000000003,-118.089298999999997,Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.049999999999997,2135.500000000000000,Yes,1,95,4638,Service dissatisfaction,1778,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
31,31,6207-WIOLX,1,United States,California,Avalon,90704,"33.391181, -118.421305",-118.421305000000004,33.391181000000003,33.391181000000003,-118.421305000000004,Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.600000000000001,1502.650000000000091,Yes,1,99,4190,Lack of self-service on Website,465,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
32,32,3091-FYHKI,1,United States,California,Harbor City,90710,"33.798266, -118.300237",-118.300236999999996,33.798265999999998,33.798265999999998,-118.300236999999996,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.450000000000003,35.450000000000003,Yes,1,80,2301,Network reliability,1780,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
33,33,2372-HWUHI,1,United States,California,Lakewood,90712,"33.840524, -118.148403",-118.148403000000002,33.840524000000002,33.840524000000002,-118.148403000000002,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.350000000000001,81.250000000000000,Yes,1,76,2570,Don't know,467,0.000000000000000,5280.000000000000000,4,33175.218421908211894,87582576.633837684988976
34,34,0390-DCFDQ,1,United States,California,Los Alamitos,90720,"33.79499, -118.065591",-118.065590999999998,33.794989999999999,33.794989999999999,-118.065590999999998,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.450000000000003,70.450000000000003,Yes,1,76,3964,Don't know,591,12736.998243188141714,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
35,35,4080-OGPJL,1,United States,California,San Pedro,90731,"33.736387, -118.284363",-118.284362999999999,33.736387000000001,33.736387000000001,-118.284362999999999,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.150000000000006,563.649999999999977,Yes,1,66,2662,Don't know,1338,9593.769984669575933,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
36,36,2135-RXIHG,1,United States,California,Carson,90745,"33.822295, -118.26411",-118.264110000000002,33.822294999999997,33.822294999999997,-118.264110000000002,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.649999999999999,45.649999999999999,Yes,1,73,2600,Poor expertise of online support,470,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
37,37,3874-EQOEP,1,United States,California,Long Beach,90804,"33.783047, -118.1486",-118.148600000000002,33.783047000000003,33.783047000000003,-118.148600000000002,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.000000000000000,655.500000000000000,Yes,1,94,2786,Poor expertise of phone support,904,0.000000000000000,5280.000000000000000,3,33175.218421908211894,87582576.633837684988976
38,38,0867-MKZVY,1,United States,California,Altadena,91001,"34.196837, -118.142236",-118.142235999999997,34.196837000000002,34.196837000000002,-118.142235999999997,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.400000000000006,1592.349999999999909,Yes,1,86,5719,Price too high,1349,12750.555025062651112,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
39,39,3376-BMGFE,1,United States,California,Monrovia,91016,"34.1528, -118.000482",-118.000482000000005,34.152799999999999,34.152799999999999,-118.000482000000005,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.900000000000006,273.000000000000000,Yes,1,75,4287,Product dissatisfaction,1345,12638.558034841888002,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
40,40,3445-HXXGF,1,United States,California,Sierra Madre,91024,"34.168686, -118.057505",-118.057505000000006,34.168686000000001,34.168686000000001,-118.057505000000006,Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.299999999999997,2651.199999999999818,Yes,1,100,5444,Service dissatisfaction,44,9696.195875787771001,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
41,41,1875-QIVME,1,United States,California,Tujunga,91042,"34.296574, -118.244839",-118.244838999999999,34.296574000000000,34.296574000000000,-118.244838999999999,Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.400000000000006,242.800000000000011,Yes,1,83,4690,Lack of self-service on Website,476,0.000000000000000,5280.000000000000000,3,33175.218421908211894,87582576.633837684988976
42,42,0691-JVSYA,1,United States,California,Pasadena,91103,"34.167465, -118.165327",-118.165327000000005,34.167465000000000,34.167465000000000,-118.165327000000005,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.849999999999994,5000.199999999999818,Yes,1,80,4328,Network reliability,1790,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
43,43,2656-FMOKZ,1,United States,California,Pasadena,91106,"34.139402, -118.128658",-118.128658000000001,34.139401999999997,34.139401999999997,-118.128658000000001,Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.450000000000003,1145.700000000000045,Yes,1,99,5717,Limited range of services,1352,7781.628516828508509,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
44,44,2070-FNEXE,1,United States,California,Pasadena,91107,"34.159007, -118.087353",-118.087352999999993,34.159007000000003,34.159007000000003,-118.087352999999993,Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.450000000000003,503.600000000000023,Yes,1,81,4419,Lack of affordable download/upload speed,1351,0.000000000000000,5280.000000000000000,3,33175.218421908211894,87582576.633837684988976
45,45,6317-YPKDH,1,United States,California,Glendale,91202,"34.167926, -118.267539",-118.267538999999999,34.167926000000001,34.167926000000001,-118.267538999999999,Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.949999999999999,29.949999999999999,Yes,1,95,4534,Long distance charges,477,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
46,46,9367-WXLCH,1,United States,California,Glendale,91204,"34.136306, -118.26036",-118.260360000000006,34.136305999999998,34.136305999999998,-118.260360000000006,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.500000000000000,662.649999999999977,Yes,1,86,2152,Extra data charges,478,0.000000000000000,5280.000000000000000,3,33175.218421908211894,87582576.633837684988976
47,47,1918-ZBFQJ,1,United States,California,Glendale,91206,"34.162515, -118.203869",-118.203868999999997,34.162514999999999,34.162514999999999,-118.203868999999997,Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.250000000000000,1111.650000000000091,Yes,1,73,5142,Price too high,479,0.000000000000000,5280.000000000000000,3,33175.218421908211894,87582576.633837684988976
48,48,1024-GUALD,1,United States,California,Glendale,91207,"34.182378, -118.262922",-118.262922000000003,34.182378000000000,34.182378000000000,-118.262922000000003,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.800000000000001,24.800000000000001,Yes,1,94,4851,Product dissatisfaction,480,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
49,49,2472-OVKUP,1,United States,California,Canoga Park,91304,"34.224377, -118.632656",-118.632655999999997,34.224376999999997,34.224376999999997,-118.632655999999997,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.000000000000000,531.000000000000000,Yes,1,94,2283,Service dissatisfaction,913,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
50,50,1285-OKIPP,1,United States,California,Mission Hills,91345,"34.266389, -118.459744",-118.459744000000001,34.266388999999997,34.266388999999997,-118.459744000000001,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.900000000000006,79.900000000000006,Yes,1,98,3394,Lack of self-service on Website,489,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
51,51,7825-ECJRF,1,United States,California,Santa Clarita,91350,"34.502432, -118.41459",-118.414590000000004,34.502431999999999,34.502431999999999,-118.414590000000004,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.599999999999994,1934.450000000000045,Yes,1,71,3764,Network reliability,1802,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
52,52,7841-TZDMQ,1,United States,California,Sun Valley,91352,"34.231053, -118.338307",-118.338307000000000,34.231053000000003,34.231053000000003,-118.338307000000000,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.000000000000000,84.500000000000000,Yes,1,76,2667,Don't know,56,9090.381350514246151,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
53,53,9408-SSNVZ,1,United States,California,Stevenson Ranch,91381,"34.364153, -118.615583",-118.615583000000001,34.364153000000002,34.364153000000002,-118.615583000000001,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.150000000000006,268.350000000000023,Yes,1,67,2227,Don't know,918,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
54,54,0742-MOABM,1,United States,California,Panorama City,91402,"34.223768, -118.445461",-118.445460999999995,34.223768000000000,34.223768000000000,-118.445460999999995,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.049999999999997,179.349999999999994,Yes,1,82,3394,Don't know,921,0.000000000000000,5280.000000000000000,4,33175.218421908211894,87582576.633837684988976
55,55,2232-DMLXU,1,United States,California,Van Nuys,91411,"34.17847, -118.459472",-118.459472000000005,34.178469999999997,34.178469999999997,-118.459472000000005,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.200000000000003,55.200000000000003,Yes,1,81,3638,Poor expertise of online support,492,0.000000000000000,5280.000000000000000,3,33175.218421908211894,87582576.633837684988976
56,56,8937-RDTHP,1,United States,California,Burbank,91504,"34.213049, -118.317651",-118.317650999999998,34.213048999999998,34.213048999999998,-118.317650999999998,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.599999999999994,84.599999999999994,Yes,1,66,2484,Poor expertise of phone support,52,9090.381350514246151,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
57,57,1251-KRREG,1,United States,California,North Hollywood,91601,"34.1692, -118.372498",-118.372497999999993,34.169199999999996,34.169199999999996,-118.372497999999993,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.399999999999999,114.099999999999994,Yes,1,81,2556,Price too high,495,0.000000000000000,5280.000000000000000,4,33175.218421908211894,87582576.633837684988976
58,58,0094-OIFMO,1,United States,California,North Hollywood,91605,"34.207295, -118.400022",-118.400022000000007,34.207295000000002,34.207295000000002,-118.400022000000007,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.000000000000000,1120.299999999999955,Yes,1,85,5980,Product dissatisfaction,496,0.000000000000000,5280.000000000000000,4,33175.218421908211894,87582576.633837684988976
59,59,9947-OTFQU,1,United States,California,Covina,91722,"34.097345, -117.906736",-117.906735999999995,34.097344999999997,34.097344999999997,-117.906735999999995,Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.400000000000006,1074.299999999999955,Yes,1,86,4616,Service dissatisfaction,928,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
60,60,0322-YINQP,1,United States,California,Covina,91723,"34.084747, -117.886844",-117.886843999999996,34.084747000000000,34.084747000000000,-117.886843999999996,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.549999999999997,48.549999999999997,Yes,1,77,5687,Lack of self-service on Website,59,7633.504523179660282,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
61,61,4629-NRXKX,1,United States,California,El Monte,91731,"34.079934, -118.046695",-118.046695000000000,34.079934000000002,34.079934000000002,-118.046695000000000,Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.400000000000006,147.150000000000006,Yes,1,75,5687,Network reliability,929,0.000000000000000,5280.000000000000000,3,33175.218421908211894,87582576.633837684988976
62,62,9514-JDSKI,1,United States,California,El Monte,91732,"34.074492, -118.01462",-118.014619999999994,34.074491999999999,34.074491999999999,-118.014619999999994,Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.200000000000003,40.200000000000003,Yes,1,65,5828,Limited range of services,500,0.000000000000000,5280.000000000000000,3,33175.218421908211894,87582576.633837684988976
63,63,4959-JOSRX,1,United States,California,La Puente,91744,"34.031441, -117.936436",-117.936436000000000,34.031441000000001,34.031441000000001,-117.936436000000000,Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.600000000000001,80.549999999999997,Yes,1,99,4884,Lack of affordable download/upload speed,931,0.000000000000000,5280.000000000000000,4,33175.218421908211894,87582576.633837684988976
